"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bosnia and Herzegovina","BIH","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","198800","181917","173647","175271","170842","166620","162528","161023","162629","161560","161483","159380","157304","152333","147690","143873","141518","",
"Belarus","BLR","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","946400","912300","876500","836623","801428","768582","741733","727422","721800","733100","747700","762800","772300","780800","787300","794300","837300","846400","852300","868000","614800","620100","635100","634600","636300","632100","625000","614700","632083","599732","560931","511863","437005","403841","379577","367736","361493","362304","362110","357796","353801","351780","355634","368783","387051","410487","423001","427752","432888","434763","444581","452333","451993","444044",
"Belize","BLZ","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","25102","25166","25575","25901","","25924","26534","27024","","28041","27932","28546","29120","30652","30994","31418","32550","33370","34155","35754","37377","38084","39220","40584","41423","42787","42863","","44180","44788","45246","44430","47187","48996","50247","51497","51898","51994","52629","52650","52361","53605","52573","51978","52072","52333","51512","50764","50388","49449","47442","45615","44727","44757",
"Bermuda","BMU","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","7986","7750","7398","7185","6919","6808","6614","6466","5961","5986","5934","5881","5750","5530","5398","","","","","","","","","","5962","","5883","","","","4959","4910","4879","4810","4760","4678","","","","4473","4347","4216","4122","4100","4147","","","","","","","","3377","",
"Bolivia","BOL","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","609174","620865","646341","679557","710943","760956","795508","790081","816377","847777","856933","889615","","950896","1023633","","1043770","1129846","","1057479","1097661","1133818","1156679","1189774","1236316","1287601","1326463","1365325","1400205","1444879","1461816","1469558","1497204","1494321","1504493","1512676","1508194","1512002","1508389","1469495","1429084","1389709","1361227","1348603","1335013","1334890","1344818","1359959","1370726","1378543","1386254","1388989","1398645","1389317","",
"Brazil","BRA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","12812029","13623388","13676582","13995216","14009392","13924849","13524834","14163728","14814043","15719836","16089731","15984805","16694572","16378400","17488900","17331576","","17568716","18822708","18409050","20312240","19002864","19231504","19410184","19930484","","","20568128","","20939076","20211506","19727684","19380388","18919122","18979208","18661104","","17996084","17812436","17451886","16893490","16486880","16134889","16760693","16630217","16299166","16118565","16106812","15951913","15690307","15366611","15201414","15280086","15129503","",
"Barbados","BRB","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","","39006","37486","36712","34120","34138","32884","33989","34324","34536","31299","31147","30728","30337","30907","30161","","","","29584","28516","","26662","","","","","","","24792","24475","24225","23394","23074","22327","22249","22461","22584","22849","22727","22659","22509","","","21171","20909","20731","20384","20218","19895","19242","18518","17794","17209","16314",
"Brunei Darussalam","BRN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","27941","29692","30652","30772","30747","30109","30824","32188","33053","29934","30513","31677","31682","32771","34373","34815","36983","36861","38146","39862","","38933","39782","41134","42270","42672","43291","43540","45369","45827","45428","44487","44882","46242","46382","46012","46086","45972","45125","44681","44215","43487","42753","42090","41078","40397","40471","39610","39404","39236","39649","39520","39077","38604","",
"Bhutan","BTN","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","9039","9324","10361","","12810","","16671","18821","19595","22648","29899","34481","37404","41372","44275","45395","49485","51948","55340","","","52017","51411","56773","60089","64915","69968","74666","78007","81156","85092","88204","90944","93974","97323","99458","102225","104467","106100","108842","110369","111183","110575","104323","101667","99291","96654","94184","92298","89894","94165","92618","90711","88861","91759",
"Botswana","BWA","Primary education, pupils","SE.PRM.ENRL","","","","","","","","","","","83002","78442","81662","95511","103711","116293","125588","137290","145459","156664","171914","178107","187065","198328","209772","223608","235941","248823","261352","275437","283516","298812","301482","305479","310128","313693","318629","322268","321271","322475","324283","329451","330835","330376","328692","329191","330417","327617","327233","330775","","","335830","340065","337170","344618","","","","","","365288","381674","","",
