"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bosnia and Herzegovina","BIH","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.09921","16.82054","17.16401","17.28654","17.19917","16.92651","","","","","","",
"Belarus","BLR","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.46535","20.0981","19.58642","19.76087","","","19.26959","19.53285","18.2068","17.43863","16.66112","15.93862","15.44266","16.03553","16.02405","15.96701","15.32719","15.14091","14.96616","14.96367","14.90909","15.36216","16.47603","17.57007","18.33759","18.80255","19.23259","","","","","","",
"Belize","BLZ","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.5","23.31494","22.81694","","20.75066","23.23186","23.62341","22.93853","22.88272","22.61592","22.63613","22.24335","21.89921","21.56275","22.57321","22.39466","20.43642","20.50666","19.58631","19.78332","","","","","","",
"Bermuda","BMU","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","23.41935","21.34986","20.89831","20.7659","21.28923","","17.68449","20.26959","22.75191","22.84733","19.01923","18.03988","17.85714","17.5","17.46926","","","","","","","","","","12.87689","","12.30753","","","","9.25187","8.95985","8.90328","8.58929","8.33625","8.25044","","","","7.35691","8.94444","9.82751","7.19372","6.72131","10.4196","","","","","","","","","",
"Bolivia","BOL","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.72372","","","","","","","","","","","","","","16.44289","16.75972","16.99771","17.20856","17.58897","17.79827","","","","","","",
"Brazil","BRA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","28.01019","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.94511","24.79699","22.97087","22.35331","21.56753","21.38676","21.04365","","23.85828","23.02467","22.64411","22.16609","21.28507","20.51712","21.22749","20.91814","20.58529","20.31899","20.22308","","","","","","","",
"Barbados","BRB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","27.97392","27.38779","","","","20.33311","23.46773","21.22519","","","","18.38658","17.80025","","17.16806","","","","","","","17.77204","17.56999","17.03586","15.90347","15.80411","15.76766","15.14568","","14.54218","13.45642","14.1425","13.00746","13.08663","","","12.71532","13.40321","13.349","14.09682","13.9917","","","","","","",
"Brunei Darussalam","BRN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","23.47983","21.11807","20.73884","20.15193","19.41098","19.03224","18.35855","18.27825","16.55962","18.06518","18.26032","17.59833","16.4753","16.00146","14.74603","16.08083","16.62157","","13.99853","14.02604","","15.30987","15.53378","15.54573","15.24892","14.59371","","","14.01143","13.96313","13.66667","13.63795","12.69287","12.24954","10.88013","10.11697","12.51317","12.67144","12.55216","11.94999","11.34882","11.33566","10.58767","10.15195","10.25924","10.01661","10.19678","10.18252","9.89521","","","","","","",
"Bhutan","BTN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","20.73165","20.2256","22.13889","","23.81041","","","24.34799","24.07248","25.24861","","","35.62286","35.45159","38.53351","","37.46026","37.1588","36.57634","","","28.62796","","30.53954","","35.49207","","","39.27845","41.70401","41.147","39.48254","","","","31.05151","29.18213","","29.87891","27.70221","25.89606","25.37845","23.9859","28.67592","","40.00443","38.03778","34.56294","34.66868","","","","","","",
"Botswana","BWA","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","36.4844","32.62978","33.10174","35.40067","34.03709","33.14135","32.02958","30.54283","31.34217","32.2155","32.33898","31.64659","32.43714","31.18365","30.87607","32.03553","32.21477","32.2979","32.24975","32.29417","31.65654","30.38869","28.81411","27.29929","26.43662","25.49106","","28.13585","27.56744","26.98536","26.72295","26.63306","26.40132","26.059","25.84666","25.55037","25.39325","25.22265","25.08494","25.51489","","","23.41584","22.61822","22.41447","23.71279","","","","","","","","","",
"Central African Republic","CAF","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","63.6922","65.94065","65.42896","65.01622","68.3403","66.51607","66.89929","64.6626","61.83406","60.70299","59.6063","60.58007","62.1258","68.28585","","65.6329","60.33869","62.77055","70.38736","90.38285","77.02522","","","","","","","","","","","","","","88.62691","","","100.23649","94.61257","84.32027","81.31051","80.11576","","","","83.41195","","","","","","","","",
"Canada","CAN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","15.93865","15.82434","16.973","16.70163","16.70203","16.05084","15.60032","15.68562","15.35704","15.30451","15.96673","15.85369","16.22553","16.47861","","17.95005","17.25853","17.41596","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","14.92513","","","","","","","","","","","","","13.38308","13.43428","13.73243","13.65073","13.64188","13.5151","13.49563","13.28895","13.28175","13.56578","13.83095","13.58666","13.1291","12.80857","12.54593","12.07044","11.83583","11.70739","12.36341","12.37093","12.72895","12.76702","12.545","12.36689","12.71581","12.66168","","","","","","",
"Switzerland","CHE","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.7542","10.44588","10.10462","","10.13562","9.92873","","","","","","","",
"Channel Islands","CHI","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.23218","31.98306","32.22683","","32.92755","34.0928","27.29501","26.05133","25.73597","25.11168","24.64024","23.00957","23.41154","21.97403","21.15991","19.52587","18.65062","18.3778","18.00111","17.79358","","","","","","","",
"China","CHN","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","28.86952","29.14729","27.37778","28.53388","29.00278","29.29086","29.01038","28.37115","27.97091","27.98316","27.24542","26.59745","25.68556","25.38248","25.03049","25.24791","24.86643","24.35071","23.62223","22.78694","22.31881","21.93084","21.98751","22.07777","22.37416","22.85133","23.29628","23.73693","24.15677","","","22.20572","","","","","18.25192","17.68203","17.55452","17.21563","16.84376","16.78841","16.84872","16.85343","16.23079","16.29441","16.54936","16.59383","16.42675","","","","","","",
"Cote d'Ivoire","CIV","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","43.03463","45.01925","46.14843","43.57135","46.07562","44.53024","43.80173","43.15366","43.04085","41.06876","38.77403","38.72203","36.44536","36.26274","35.78158","36.48968","36.25406","36.05055","36.24674","37.10362","36.28911","36.27673","37.06852","35.64816","39.14086","44.64832","41.01421","","41.66097","42.71803","44.97398","46.07557","43.88046","42.35665","","","46.10896","41.00376","41.8902","42.12742","","48.84621","41.71605","41.00117","42.52673","42.0505","42.50102","42.42645","41.8223","","","","","","",
"Cameroon","CMR","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","47.69017","48.54799","48.83465","51.42933","51.62818","50.56058","49.78232","50.0225","50.47961","51.52335","51.53402","50.50649","48.61283","50.39807","50.94533","50.75656","50.24782","51.30844","50.50546","51.484","51.10971","47.86434","","","46.29539","","48.78088","51.78101","51.86201","","62.72134","60.80479","57.0638","53.90314","47.8128","44.69425","44.43054","46.03527","46.31569","45.79474","45.43773","45.56349","","44.19526","41.46571","42.73541","44.61321","44.83412","","","","","","",
"Congo, Dem. Rep.","COD","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","42.56625","43.50178","40.90431","","","","","","","","","","","41.53049","","","36.62732","","","","","40.20943","41.53712","44.08473","44.7528","","","40.43316","26.01515","","","34.33504","","","","","38.29543","39.02034","37.32547","37.0131","37.37094","34.74758","37.06925","35.31936","33.19793","","","","","","","","","",
"Congo, Rep.","COG","Pupil-teacher ratio, primary","SE.PRM.ENRL.TC.ZS","","","","","","","","","","","","61.85249","64.19569","63.43105","63.04043","60.79438","58.72304","","51.79566","52.51186","55.89872","54.36627","58.1442","57.69873","56.79136","60.70168","61.43383","63.77437","66.09692","62.99504","64.42506","65.17788","63.20272","69.05732","73.41823","82.16833","72.74795","72.91752","63.95559","61.22946","60.48057","59.49181","56.20777","65.17102","82.79541","","54.79663","58.48011","51.80477","64.38062","49.14568","47.09289","44.442","","","","","","","","","","","","",
